#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR
#Tue Dec 22 11:33:27 CET 2015
tweets1012.xml=1,0;1,0;-1.0
tweets1118.xml=1,0;0,1;-1.0
tweets1532.xml=1,0;1,0;-1.0
tweets1473.xml=1,0;1,0;-1.0
tweets1638.xml=1,0;1,0;-1.0
tweets1579.xml=1,0;1,0;-1.0
tweets1223.xml=0,1;0,1;-1.0
tweets1164.xml=0,1;0,1;-1.0
tweets1329.xml=1,0;1,0;-1.0
tweets1434.xml=1,0;1,0;-1.0
tweets1375.xml=1,0;1,0;-1.0
tweets1125.xml=0,1;1,0;-1.0
tweets1645.xml=1,0;1,0;-1.0
tweets1480.xml=1,0;1,0;-1.0
tweets1586.xml=1,0;1,0;-1.0
tweets1230.xml=0,1;0,1;-1.0
tweets1171.xml=0,1;0,1;-1.0
tweets1336.xml=1,0;1,0;-1.0
tweets1500.xml=1,0;1,0;-1.0
tweets1441.xml=0,1;1,0;-1.0
tweets1606.xml=1,0;0,1;-1.0
tweets1382.xml=1,0;1,0;-1.0
tweets1079.xml=1,0;1,0;-1.0
tweets1132.xml=1,0;1,0;-1.0
tweets1652.xml=1,0;1,0;-1.0
tweets1593.xml=1,0;1,0;-1.0
tweets1402.xml=1,0;1,0;-1.0
tweets1343.xml=0,1;1,0;-1.0
tweets1613.xml=1,0;1,0;-1.0
tweets1086.xml=1,0;1,0;-1.0
tweets1304.xml=0,1;0,1;-1.0
tweets1297.xml=1,0;1,0;-1.0
tweets1350.xml=0,1;1,0;-1.0
tweets1047.xml=1,0;1,0;-1.0
tweets1100.xml=1,0;1,0;-1.0
tweets1567.xml=0,1;1,0;-1.0
tweets1620.xml=1,0;1,0;-1.0
tweets1093.xml=1,0;0,1;-1.0
tweets1258.xml=0,1;0,1;-1.0
tweets1199.xml=1,0;0,1;-1.0
tweets1311.xml=1,0;1,0;-1.0
tweets1528.xml=1,0;1,0;-1.0
tweets1469.xml=1,0;1,0;-1.0
tweets1219.xml=0,1;0,1;-1.0
tweets1054.xml=1,0;1,0;-1.0
tweets1265.xml=1,0;1,0;-1.0
tweets1015.xml=0,1;0,1;-1.0
tweets1535.xml=1,0;1,0;-1.0
tweets1476.xml=1,0;1,0;-1.0
tweets1226.xml=1,0;0,1;-1.0
tweets1061.xml=1,0;1,0;-1.0
tweets1167.xml=1,0;1,0;-1.0
tweets1272.xml=1,0;0,1;-1.0
tweets1437.xml=1,0;1,0;-1.0
tweets1378.xml=1,0;1,0;-1.0
tweets1022.xml=1,0;1,0;-1.0
tweets1128.xml=1,0;0,1;-1.0
tweets1542.xml=1,0;1,0;-1.0
tweets1483.xml=1,0;1,0;-1.0
tweets1648.xml=0,1;0,1;-1.0
tweets1589.xml=1,0;1,0;-1.0
tweets1233.xml=1,0;1,0;-1.0
tweets1174.xml=1,0;1,0;-1.0
tweets1339.xml=1,0;1,0;-1.0
tweets1503.xml=1,0;1,0;-1.0
tweets1444.xml=1,0;1,0;-1.0
