#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR 2=NONE
#Mon Dec 28 12:15:13 CET 2015
tweets2717.xml=0,0,1;0,0,1;-1.0
tweets2552.xml=1,0,0;1,0,0;-1.0
tweets2658.xml=1,0,0;0,0,1;-1.0
tweets2493.xml=0,1,0;0,1,0;-1.0
tweets2408.xml=0,1,0;0,0,1;-1.0
tweets2822.xml=1,0,0;1,0,0;-1.0
tweets2763.xml=1,0,0;0,0,1;-1.0
tweets2869.xml=0,0,1;1,0,0;-1.0
tweets2513.xml=1,0,0;1,0,0;-1.0
tweets2454.xml=0,0,1;0,0,1;-1.0
tweets2619.xml=1,0,0;1,0,0;-1.0
tweets2395.xml=0,0,1;0,0,1;-1.0
tweets2724.xml=1,0,0;0,0,1;-1.0
tweets2665.xml=0,0,1;1,0,0;-1.0
tweets2415.xml=0,0,1;1,0,0;-1.0
tweets2770.xml=1,0,0;0,0,1;-1.0
tweets2876.xml=1,0,0;1,0,0;-1.0
tweets2520.xml=1,0,0;1,0,0;-1.0
tweets2461.xml=1,0,0;1,0,0;-1.0
tweets2626.xml=1,0,0;1,0,0;-1.0
tweets2731.xml=0,0,1;0,0,1;-1.0
tweets2672.xml=0,0,1;0,0,1;-1.0
tweets2837.xml=1,0,0;1,0,0;-1.0
tweets2369.xml=1,0,0;1,0,0;-1.0
tweets2422.xml=0,1,0;1,0,0;-1.0
tweets2883.xml=1,0,0;1,0,0;-1.0
tweets2633.xml=1,0,0;0,0,1;-1.0
tweets2903.xml=0,0,1;1,0,0;-1.0
tweets2844.xml=1,0,0;1,0,0;-1.0
tweets2376.xml=1,0,0;0,0,1;-1.0
tweets2890.xml=0,0,1;1,0,0;-1.0
tweets2587.xml=0,0,1;0,0,1;-1.0
tweets2640.xml=0,0,1;0,1,0;-1.0
tweets2337.xml=1,0,0;1,0,0;-1.0
tweets2798.xml=1,0,0;0,1,0;-1.0
tweets2910.xml=1,0,0;1,0,0;-1.0
tweets2851.xml=1,0,0;1,0,0;-1.0
tweets2548.xml=1,0,0;1,0,0;-1.0
tweets2489.xml=1,0,0;1,0,0;-1.0
tweets2601.xml=1,0,0;1,0,0;-1.0
tweets2818.xml=1,0,0;0,1,0;-1.0
tweets2594.xml=1,0,0;1,0,0;-1.0
tweets2759.xml=0,0,1;0,0,1;-1.0
tweets2344.xml=0,0,1;0,0,1;-1.0
tweets2509.xml=1,0,0;1,0,0;-1.0
tweets2555.xml=1,0,0;1,0,0;-1.0
