#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR
#Fri Dec 18 15:30:28 CET 2015
tweets1274.xml=1,0;1,0;-1.0
tweets1594.xml=1,0;1,0;-1.0
tweets1429.xml=1,0;1,0;-1.0
tweets1482.xml=1,0;1,0;-1.0
tweets1582.xml=1,0;1,0;-1.0
tweets1317.xml=1,0;1,0;-1.0
tweets1405.xml=1,0;1,0;-1.0
tweets1590.xml=1,0;1,0;-1.0
tweets1589.xml=1,0;1,0;-1.0
tweets1477.xml=1,0;1,0;-1.0
tweets1645.xml=1,0;1,0;-1.0
tweets1401.xml=1,0;1,0;-1.0
tweets1521.xml=1,0;1,0;-1.0
tweets1285.xml=1,0;1,0;-1.0
tweets1121.xml=1,0;1,0;-1.0
tweets1621.xml=1,0;1,0;-1.0
tweets1585.xml=1,0;1,0;-1.0
tweets1408.xml=1,0;1,0;-1.0
tweets1628.xml=1,0;1,0;-1.0
tweets1316.xml=1,0;1,0;-1.0
tweets1436.xml=1,0;0,1;-1.0
tweets1588.xml=1,0;1,0;-1.0
tweets1376.xml=1,0;0,1;-1.0
tweets1576.xml=1,0;1,0;-1.0
tweets1532.xml=1,0;1,0;-1.0
tweets1596.xml=1,0;1,0;-1.0
tweets1284.xml=1,0;1,0;-1.0
tweets1620.xml=1,0;1,0;-1.0
tweets1619.xml=1,0;1,0;-1.0
tweets1407.xml=1,0;1,0;-1.0
tweets1592.xml=0,1;1,0;-1.0
tweets1515.xml=1,0;1,0;-1.0
tweets1403.xml=1,0;1,0;-1.0
tweets1603.xml=1,0;1,0;-1.0
tweets1667.xml=1,0;1,0;-1.0
tweets1599.xml=1,0;1,0;-1.0
tweets1443.xml=1,0;1,0;-1.0
tweets1531.xml=1,0;1,0;-1.0
tweets1431.xml=1,0;1,0;-1.0
tweets1595.xml=1,0;1,0;-1.0
tweets1483.xml=1,0;1,0;-1.0
tweets1618.xml=1,0;1,0;-1.0
tweets1591.xml=1,0;1,0;-1.0
tweets1658.xml=1,0;1,0;-1.0
tweets1514.xml=1,0;1,0;-1.0
tweets1446.xml=1,0;1,0;-1.0
tweets1614.xml=1,0;1,0;-1.0
tweets1314.xml=1,0;1,0;-1.0
tweets1434.xml=1,0;1,0;-1.0
tweets1522.xml=1,0;1,0;-1.0
tweets1598.xml=1,0;1,0;-1.0
