#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=NONE 1=STANCE
#Sun Dec 27 13:16:39 CET 2015
tweets1782.xml=0,1;0,1;-1.0
tweets1947.xml=0,1;1,0;-1.0
tweets1888.xml=0,1;1,0;-1.0
tweets2302.xml=0,1;0,1;-1.0
tweets2243.xml=0,1;1,0;-1.0
tweets2184.xml=0,1;0,1;-1.0
tweets1993.xml=0,1;0,1;-1.0
tweets1743.xml=0,1;0,1;-1.0
tweets1908.xml=0,1;1,0;-1.0
tweets1849.xml=0,1;1,0;-1.0
tweets1684.xml=0,1;1,0;-1.0
tweets2204.xml=0,1;0,1;-1.0
tweets2145.xml=0,1;0,1;-1.0
tweets1954.xml=0,1;1,0;-1.0
tweets1895.xml=0,1;0,1;-1.0
tweets1704.xml=0,1;0,1;-1.0
tweets2250.xml=0,1;1,0;-1.0
tweets2191.xml=0,1;0,1;-1.0
tweets2000.xml=0,1;1,0;-1.0
tweets2106.xml=0,1;0,1;-1.0
tweets1750.xml=0,1;0,1;-1.0
tweets1915.xml=0,1;0,1;-1.0
tweets1691.xml=0,1;0,1;-1.0
tweets1856.xml=1,0;0,1;-1.0
tweets2099.xml=0,1;0,1;-1.0
tweets2211.xml=0,1;0,1;-1.0
tweets2152.xml=0,1;0,1;-1.0
tweets1961.xml=0,1;0,1;-1.0
tweets1711.xml=0,1;0,1;-1.0
tweets1817.xml=0,1;0,1;-1.0
tweets2113.xml=0,1;0,1;-1.0
tweets1922.xml=1,0;1,0;-1.0
tweets1863.xml=0,1;1,0;-1.0
tweets1824.xml=0,1;1,0;-1.0
tweets2067.xml=0,1;0,1;-1.0
tweets2120.xml=0,1;0,1;-1.0
tweets1870.xml=0,1;0,1;-1.0
tweets2278.xml=0,1;0,1;-1.0
tweets2028.xml=0,1;0,1;-1.0
tweets1778.xml=0,1;0,1;-1.0
tweets1831.xml=0,1;0,1;-1.0
tweets2239.xml=0,1;0,1;-1.0
tweets2074.xml=0,1;0,1;-1.0
tweets1989.xml=0,1;0,1;-1.0
tweets1739.xml=0,1;0,1;-1.0
tweets2285.xml=0,1;0,1;-1.0
tweets2035.xml=1,0;1,0;-1.0
tweets1785.xml=0,1;0,1;-1.0
tweets2305.xml=0,1;0,1;-1.0
tweets2081.xml=0,1;0,1;-1.0
tweets2246.xml=1,0;0,1;-1.0
tweets2187.xml=0,1;0,1;-1.0
tweets1996.xml=0,1;0,1;-1.0
tweets1746.xml=0,1;0,1;-1.0
tweets2292.xml=1,0;0,1;-1.0
tweets1687.xml=0,1;0,1;-1.0
tweets2042.xml=0,1;0,1;-1.0
tweets2207.xml=0,1;0,1;-1.0
tweets2148.xml=1,0;0,1;-1.0
tweets1792.xml=0,1;1,0;-1.0
tweets1957.xml=1,0;1,0;-1.0
tweets1898.xml=0,1;0,1;-1.0
tweets1707.xml=1,0;0,1;-1.0
tweets2253.xml=0,1;1,0;-1.0
tweets2194.xml=0,1;0,1;-1.0
tweets2003.xml=0,1;1,0;-1.0
tweets2109.xml=0,1;0,1;-1.0
tweets1753.xml=0,1;0,1;-1.0
tweets1918.xml=0,1;1,0;-1.0
tweets1859.xml=1,0;1,0;-1.0
tweets1694.xml=0,1;1,0;-1.0
tweets2214.xml=1,0;1,0;-1.0
tweets2155.xml=0,1;0,1;-1.0
tweets1964.xml=0,1;1,0;-1.0
tweets1714.xml=0,1;0,1;-1.0
tweets2260.xml=0,1;0,1;-1.0
tweets2010.xml=0,1;0,1;-1.0
tweets2116.xml=0,1;0,1;-1.0
tweets1760.xml=0,1;0,1;-1.0
tweets1925.xml=0,1;0,1;-1.0
tweets1866.xml=1,0;1,0;-1.0
tweets2221.xml=1,0;1,0;-1.0
tweets2162.xml=0,1;0,1;-1.0
tweets1971.xml=1,0;1,0;-1.0
tweets1721.xml=0,1;0,1;-1.0
tweets1827.xml=0,1;0,1;-1.0
tweets2123.xml=0,1;0,1;-1.0
tweets1932.xml=1,0;1,0;-1.0
tweets1873.xml=1,0;1,0;-1.0
tweets1834.xml=0,1;0,1;-1.0
tweets2077.xml=0,1;0,1;-1.0
tweets2130.xml=0,1;0,1;-1.0
tweets1880.xml=0,1;0,1;-1.0
tweets2288.xml=0,1;0,1;-1.0
tweets2038.xml=0,1;0,1;-1.0
tweets1788.xml=0,1;0,1;-1.0
tweets1900.xml=0,1;0,1;-1.0
tweets1841.xml=0,1;0,1;-1.0
tweets2308.xml=0,1;0,1;-1.0
tweets2249.xml=0,1;0,1;-1.0
tweets2084.xml=0,1;0,1;-1.0
tweets1999.xml=0,1;0,1;-1.0
tweets1749.xml=0,1;0,1;-1.0
tweets2295.xml=0,1;0,1;-1.0
tweets1802.xml=0,1;1,0;-1.0
tweets2045.xml=0,1;0,1;-1.0
tweets1795.xml=0,1;0,1;-1.0
tweets2256.xml=0,1;1,0;-1.0
tweets2091.xml=1,0;0,1;-1.0
tweets2197.xml=0,1;0,1;-1.0
tweets2006.xml=0,1;0,1;-1.0
tweets1756.xml=0,1;0,1;-1.0
tweets1697.xml=0,1;1,0;-1.0
tweets2052.xml=1,0;1,0;-1.0
tweets2217.xml=0,1;0,1;-1.0
tweets2158.xml=0,1;0,1;-1.0
tweets1967.xml=0,1;1,0;-1.0
tweets1717.xml=0,1;0,1;-1.0
tweets2263.xml=0,1;0,1;-1.0
tweets2013.xml=0,1;0,1;-1.0
tweets2119.xml=0,1;0,1;-1.0
tweets1928.xml=0,1;0,1;-1.0
tweets1763.xml=0,1;1,0;-1.0
tweets1869.xml=0,1;1,0;-1.0
tweets2224.xml=0,1;0,1;-1.0
tweets2165.xml=0,1;0,1;-1.0
tweets1974.xml=1,0;1,0;-1.0
tweets1724.xml=0,1;0,1;-1.0
tweets2270.xml=0,1;0,1;-1.0
tweets2020.xml=0,1;1,0;-1.0
tweets2126.xml=0,1;0,1;-1.0
tweets1935.xml=0,1;0,1;-1.0
tweets1770.xml=0,1;1,0;-1.0
tweets1876.xml=0,1;1,0;-1.0
tweets2231.xml=0,1;0,1;-1.0
tweets2172.xml=0,1;0,1;-1.0
tweets1981.xml=1,0;1,0;-1.0
tweets1731.xml=0,1;1,0;-1.0
tweets1837.xml=0,1;0,1;-1.0
tweets2133.xml=0,1;0,1;-1.0
tweets1942.xml=0,1;1,0;-1.0
tweets1883.xml=1,0;1,0;-1.0
tweets1903.xml=0,1;1,0;-1.0
tweets1844.xml=0,1;1,0;-1.0
tweets2087.xml=0,1;0,1;-1.0
tweets2140.xml=0,1;0,1;-1.0
tweets1890.xml=0,1;0,1;-1.0
tweets2298.xml=0,1;0,1;-1.0
tweets1805.xml=1,0;0,1;-1.0
tweets2048.xml=0,1;1,0;-1.0
tweets2101.xml=0,1;0,1;-1.0
tweets1798.xml=0,1;0,1;-1.0
tweets1910.xml=0,1;0,1;-1.0
tweets1851.xml=0,1;1,0;-1.0
tweets2094.xml=0,1;0,1;-1.0
tweets2259.xml=0,1;0,1;-1.0
tweets2009.xml=0,1;1,0;-1.0
tweets1759.xml=1,0;1,0;-1.0
tweets1812.xml=0,1;0,1;-1.0
tweets2055.xml=0,1;0,1;-1.0
tweets2266.xml=0,1;0,1;-1.0
tweets2016.xml=0,1;0,1;-1.0
tweets1766.xml=0,1;0,1;-1.0
tweets2062.xml=0,1;1,0;-1.0
tweets2227.xml=0,1;0,1;-1.0
tweets2168.xml=0,1;0,1;-1.0
tweets1977.xml=0,1;0,1;-1.0
tweets1727.xml=0,1;0,1;-1.0
tweets2273.xml=0,1;0,1;-1.0
tweets2023.xml=1,0;1,0;-1.0
tweets2129.xml=0,1;0,1;-1.0
tweets1938.xml=1,0;1,0;-1.0
tweets1773.xml=1,0;0,1;-1.0
tweets1879.xml=0,1;0,1;-1.0
tweets2234.xml=1,0;1,0;-1.0
tweets2175.xml=1,0;0,1;-1.0
tweets1984.xml=0,1;0,1;-1.0
tweets1734.xml=1,0;1,0;-1.0
tweets1675.xml=0,1;1,0;-1.0
tweets2280.xml=1,0;0,1;-1.0
tweets2030.xml=0,1;0,1;-1.0
tweets2136.xml=0,1;0,1;-1.0
tweets1945.xml=0,1;1,0;-1.0
tweets1780.xml=0,1;1,0;-1.0
tweets1886.xml=0,1;1,0;-1.0
tweets2300.xml=0,1;0,1;-1.0
tweets2241.xml=0,1;1,0;-1.0
tweets2182.xml=0,1;0,1;-1.0
tweets1991.xml=0,1;1,0;-1.0
tweets1741.xml=0,1;1,0;-1.0
tweets1906.xml=1,0;0,1;-1.0
