#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR 2=NONE
#Wed Dec 09 11:56:25 CET 2015
tweets719.xml=1,0,0;0,0,1;-1.0
tweets1156.xml=0,1,0;1,0,0;-1.0
tweets1285.xml=1,0,0;1,0,0;-1.0
tweets2599.xml=1,0,0;0,0,1;-1.0
tweets1749.xml=1,0,0;1,0,0;-1.0
tweets2390.xml=0,0,1;1,0,0;-1.0
tweets2217.xml=0,0,1;1,0,0;-1.0
tweets1032.xml=0,0,1;0,0,1;-1.0
tweets2854.xml=1,0,0;1,0,0;-1.0
tweets2346.xml=0,1,0;0,1,0;-1.0
tweets229.xml=1,0,0;1,0,0;-1.0
tweets866.xml=1,0,0;0,0,1;-1.0
tweets995.xml=0,0,1;0,1,0;-1.0
tweets1259.xml=0,0,1;0,1,0;-1.0
tweets2601.xml=1,0,0;1,0,0;-1.0
tweets1896.xml=1,0,0;1,0,0;-1.0
tweets2730.xml=0,0,1;1,0,0;-1.0
tweets613.xml=0,0,1;1,0,0;-1.0
tweets742.xml=0,0,1;0,0,1;-1.0
tweets2493.xml=0,1,0;0,1,0;-1.0
tweets1006.xml=0,1,0;0,1,0;-1.0
tweets1643.xml=0,0,1;1,0,0;-1.0
tweets376.xml=1,0,0;1,0,0;-1.0
tweets1772.xml=0,0,1;1,0,0;-1.0
tweets969.xml=0,0,1;0,1,0;-1.0
tweets2111.xml=0,0,1;1,0,0;-1.0
tweets2240.xml=1,0,0;1,0,0;-1.0
tweets123.xml=1,0,0;0,0,1;-1.0
tweets2704.xml=1,0,0;1,0,0;-1.0
tweets1999.xml=1,0,0;0,1,0;-1.0
tweets252.xml=0,0,1;1,0,0;-1.0
tweets716.xml=0,1,0;0,1,0;-1.0
tweets1153.xml=1,0,0;1,0,0;-1.0
tweets2467.xml=1,0,0;1,0,0;-1.0
tweets1282.xml=0,0,1;0,1,0;-1.0
tweets2596.xml=1,0,0;1,0,0;-1.0
tweets1617.xml=0,0,1;1,0,0;-1.0
tweets479.xml=0,0,1;0,0,1;-1.0
tweets1746.xml=0,0,1;0,1,0;-1.0
tweets2214.xml=0,0,1;0,0,1;-1.0
tweets2851.xml=0,0,1;1,0,0;-1.0
tweets2343.xml=0,1,0;0,1,0;-1.0
tweets226.xml=0,1,0;0,1,0;-1.0
tweets2807.xml=0,0,1;0,0,1;-1.0
tweets863.xml=0,0,1;0,1,0;-1.0
tweets992.xml=0,1,0;0,0,1;-1.0
tweets1127.xml=0,1,0;0,1,0;-1.0
tweets1256.xml=0,0,1;0,0,1;-1.0
tweets1893.xml=1,0,0;1,0,0;-1.0
tweets610.xml=0,0,1;1,0,0;-1.0
tweets2490.xml=1,0,0;0,0,1;-1.0
tweets1003.xml=0,0,1;0,0,1;-1.0
tweets2317.xml=0,0,1;0,0,1;-1.0
