#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR 2=NONE
#Mon Dec 28 11:00:13 CET 2015
tweets191.xml=1,0,0;0,0,1;-1.0
tweets105.xml=1,0,0;1,0,0;-1.0
tweets328.xml=1,0,0;0,1,0;-1.0
tweets183.xml=1,0,0;0,1,0;-1.0
tweets430.xml=1,0,0;0,1,0;-1.0
tweets175.xml=1,0,0;0,1,0;-1.0
tweets398.xml=1,0,0;1,0,0;-1.0
tweets167.xml=1,0,0;1,0,0;-1.0
tweets422.xml=1,0,0;1,0,0;-1.0
tweets159.xml=1,0,0;0,0,1;-1.0
tweets414.xml=1,0,0;0,0,1;-1.0
tweets492.xml=1,0,0;1,0,0;-1.0
tweets406.xml=1,0,0;0,1,0;-1.0
tweets261.xml=1,0,0;1,0,0;-1.0
tweets484.xml=1,0,0;0,0,1;-1.0
tweets476.xml=1,0,0;1,0,0;-1.0
tweets253.xml=1,0,0;0,0,1;-1.0
tweets245.xml=1,0,0;0,1,0;-1.0
tweets468.xml=1,0,0;0,1,0;-1.0
tweets500.xml=1,0,0;1,0,0;-1.0
tweets237.xml=1,0,0;0,0,1;-1.0
tweets570.xml=1,0,0;1,0,0;-1.0
tweets229.xml=1,0,0;1,0,0;-1.0
tweets562.xml=1,0,0;1,0,0;-1.0
tweets299.xml=1,0,0;1,0,0;-1.0
tweets554.xml=1,0,0;1,0,0;-1.0
tweets546.xml=1,0,0;1,0,0;-1.0
tweets538.xml=1,0,0;1,0,0;-1.0
tweets315.xml=1,0,0;0,0,1;-1.0
tweets307.xml=1,0,0;0,0,1;-1.0
tweets351.xml=1,0,0;0,0,1;-1.0
tweets343.xml=1,0,0;1,0,0;-1.0
tweets120.xml=1,0,0;1,0,0;-1.0
tweets335.xml=1,0,0;0,0,1;-1.0
tweets112.xml=1,0,0;1,0,0;-1.0
tweets190.xml=1,0,0;1,0,0;-1.0
tweets104.xml=1,0,0;1,0,0;-1.0
tweets327.xml=1,0,0;0,1,0;-1.0
tweets182.xml=1,0,0;1,0,0;-1.0
tweets319.xml=1,0,0;0,0,1;-1.0
tweets174.xml=1,0,0;1,0,0;-1.0
tweets397.xml=1,0,0;1,0,0;-1.0
tweets389.xml=1,0,0;0,0,1;-1.0
tweets421.xml=1,0,0;1,0,0;-1.0
tweets166.xml=1,0,0;1,0,0;-1.0
tweets413.xml=1,0,0;0,1,0;-1.0
tweets158.xml=1,0,0;0,1,0;-1.0
tweets491.xml=1,0,0;1,0,0;-1.0
tweets405.xml=1,0,0;1,0,0;-1.0
tweets260.xml=1,0,0;0,0,1;-1.0
tweets483.xml=1,0,0;0,0,1;-1.0
tweets252.xml=1,0,0;1,0,0;-1.0
tweets475.xml=1,0,0;1,0,0;-1.0
tweets467.xml=1,0,0;0,1,0;-1.0
tweets244.xml=1,0,0;0,1,0;-1.0
tweets459.xml=1,0,0;1,0,0;-1.0
tweets236.xml=1,0,0;1,0,0;-1.0
tweets228.xml=1,0,0;0,0,1;-1.0
tweets561.xml=1,0,0;1,0,0;-1.0
tweets298.xml=1,0,0;0,1,0;-1.0
tweets553.xml=1,0,0;1,0,0;-1.0
tweets545.xml=1,0,0;1,0,0;-1.0
tweets537.xml=1,0,0;1,0,0;-1.0
tweets314.xml=1,0,0;0,0,1;-1.0
tweets306.xml=1,0,0;1,0,0;-1.0
tweets529.xml=1,0,0;1,0,0;-1.0
tweets599.xml=1,0,0;0,0,1;-1.0
tweets350.xml=1,0,0;0,1,0;-1.0
tweets342.xml=1,0,0;0,1,0;-1.0
tweets334.xml=1,0,0;0,1,0;-1.0
tweets111.xml=1,0,0;0,1,0;-1.0
tweets103.xml=1,0,0;1,0,0;-1.0
tweets326.xml=1,0,0;1,0,0;-1.0
tweets181.xml=1,0,0;1,0,0;-1.0
tweets173.xml=1,0,0;1,0,0;-1.0
tweets396.xml=1,0,0;1,0,0;-1.0
tweets388.xml=1,0,0;1,0,0;-1.0
tweets165.xml=1,0,0;1,0,0;-1.0
tweets420.xml=1,0,0;1,0,0;-1.0
tweets412.xml=1,0,0;0,0,1;-1.0
tweets157.xml=1,0,0;0,1,0;-1.0
tweets490.xml=1,0,0;1,0,0;-1.0
tweets149.xml=1,0,0;1,0,0;-1.0
tweets404.xml=1,0,0;1,0,0;-1.0
tweets482.xml=1,0,0;1,0,0;-1.0
tweets474.xml=1,0,0;0,0,1;-1.0
tweets251.xml=1,0,0;0,0,1;-1.0
tweets243.xml=1,0,0;1,0,0;-1.0
tweets466.xml=1,0,0;0,0,1;-1.0
tweets235.xml=1,0,0;1,0,0;-1.0
tweets458.xml=1,0,0;1,0,0;-1.0
tweets227.xml=1,0,0;1,0,0;-1.0
tweets560.xml=1,0,0;1,0,0;-1.0
tweets219.xml=1,0,0;0,1,0;-1.0
tweets552.xml=1,0,0;1,0,0;-1.0
tweets297.xml=1,0,0;1,0,0;-1.0
tweets544.xml=1,0,0;1,0,0;-1.0
tweets289.xml=1,0,0;1,0,0;-1.0
tweets536.xml=1,0,0;1,0,0;-1.0
tweets313.xml=1,0,0;1,0,0;-1.0
tweets305.xml=1,0,0;0,0,1;-1.0
tweets528.xml=1,0,0;1,0,0;-1.0
tweets598.xml=1,0,0;0,1,0;-1.0
tweets341.xml=1,0,0;0,0,1;-1.0
tweets110.xml=1,0,0;0,0,1;-1.0
tweets333.xml=1,0,0;0,1,0;-1.0
tweets102.xml=1,0,0;1,0,0;-1.0
tweets325.xml=1,0,0;0,1,0;-1.0
tweets180.xml=1,0,0;0,0,1;-1.0
tweets172.xml=1,0,0;1,0,0;-1.0
tweets395.xml=1,0,0;0,1,0;-1.0
tweets387.xml=1,0,0;0,0,1;-1.0
tweets164.xml=1,0,0;0,0,1;-1.0
tweets379.xml=1,0,0;0,0,1;-1.0
tweets156.xml=1,0,0;0,0,1;-1.0
tweets411.xml=1,0,0;0,1,0;-1.0
tweets403.xml=1,0,0;1,0,0;-1.0
tweets148.xml=1,0,0;0,0,1;-1.0
tweets481.xml=1,0,0;1,0,0;-1.0
tweets250.xml=1,0,0;1,0,0;-1.0
tweets473.xml=1,0,0;0,1,0;-1.0
tweets465.xml=1,0,0;0,1,0;-1.0
tweets242.xml=1,0,0;0,1,0;-1.0
tweets457.xml=1,0,0;1,0,0;-1.0
tweets234.xml=1,0,0;1,0,0;-1.0
tweets226.xml=1,0,0;0,1,0;-1.0
tweets449.xml=1,0,0;0,0,1;-1.0
tweets218.xml=1,0,0;1,0,0;-1.0
tweets551.xml=1,0,0;1,0,0;-1.0
tweets296.xml=1,0,0;1,0,0;-1.0
tweets543.xml=1,0,0;1,0,0;-1.0
tweets288.xml=1,0,0;1,0,0;-1.0
tweets535.xml=1,0,0;1,0,0;-1.0
tweets312.xml=1,0,0;1,0,0;-1.0
tweets304.xml=1,0,0;0,0,1;-1.0
tweets527.xml=1,0,0;1,0,0;-1.0
tweets519.xml=1,0,0;1,0,0;-1.0
tweets597.xml=1,0,0;1,0,0;-1.0
tweets589.xml=1,0,0;0,1,0;-1.0
tweets340.xml=1,0,0;0,0,1;-1.0
tweets332.xml=1,0,0;0,0,1;-1.0
tweets101.xml=1,0,0;1,0,0;-1.0
tweets324.xml=1,0,0;0,0,1;-1.0
tweets171.xml=1,0,0;0,1,0;-1.0
tweets394.xml=1,0,0;0,0,1;-1.0
tweets163.xml=1,0,0;0,1,0;-1.0
tweets386.xml=1,0,0;0,0,1;-1.0
tweets378.xml=1,0,0;0,0,1;-1.0
tweets410.xml=1,0,0;1,0,0;-1.0
tweets155.xml=1,0,0;1,0,0;-1.0
tweets402.xml=1,0,0;0,0,1;-1.0
tweets147.xml=1,0,0;0,1,0;-1.0
tweets480.xml=1,0,0;0,0,1;-1.0
tweets139.xml=1,0,0;1,0,0;-1.0
tweets472.xml=1,0,0;1,0,0;-1.0
tweets609.xml=1,0,0;1,0,0;-1.0
tweets464.xml=1,0,0;1,0,0;-1.0
tweets241.xml=1,0,0;1,0,0;-1.0
tweets456.xml=1,0,0;1,0,0;-1.0
tweets233.xml=1,0,0;1,0,0;-1.0
tweets448.xml=1,0,0;0,0,1;-1.0
tweets225.xml=1,0,0;0,0,1;-1.0
tweets217.xml=1,0,0;1,0,0;-1.0
tweets550.xml=1,0,0;1,0,0;-1.0
tweets295.xml=1,0,0;1,0,0;-1.0
tweets209.xml=1,0,0;0,1,0;-1.0
