#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=NONE 1=STANCE
#Mon Jan 04 11:23:43 CET 2016
tweets191.xml=0,1;1,0;-1.0
tweets105.xml=0,1;0,1;-1.0
tweets328.xml=0,1;0,1;-1.0
tweets183.xml=0,1;0,1;-1.0
tweets430.xml=0,1;0,1;-1.0
tweets175.xml=0,1;0,1;-1.0
tweets398.xml=0,1;0,1;-1.0
tweets167.xml=0,1;0,1;-1.0
tweets422.xml=0,1;0,1;-1.0
tweets159.xml=0,1;1,0;-1.0
tweets414.xml=0,1;1,0;-1.0
tweets492.xml=0,1;0,1;-1.0
tweets406.xml=0,1;0,1;-1.0
tweets261.xml=0,1;0,1;-1.0
tweets484.xml=1,0;1,0;-1.0
tweets476.xml=0,1;0,1;-1.0
tweets253.xml=0,1;1,0;-1.0
tweets500.xml=0,1;0,1;-1.0
tweets245.xml=0,1;0,1;-1.0
tweets468.xml=0,1;0,1;-1.0
tweets237.xml=0,1;1,0;-1.0
tweets570.xml=0,1;0,1;-1.0
tweets229.xml=0,1;0,1;-1.0
tweets562.xml=0,1;0,1;-1.0
tweets554.xml=0,1;0,1;-1.0
tweets299.xml=0,1;0,1;-1.0
tweets546.xml=0,1;0,1;-1.0
tweets538.xml=0,1;0,1;-1.0
tweets315.xml=0,1;1,0;-1.0
tweets307.xml=1,0;1,0;-1.0
tweets351.xml=1,0;1,0;-1.0
tweets120.xml=0,1;0,1;-1.0
tweets343.xml=0,1;0,1;-1.0
tweets112.xml=0,1;0,1;-1.0
tweets335.xml=1,0;1,0;-1.0
tweets190.xml=0,1;0,1;-1.0
tweets104.xml=0,1;0,1;-1.0
tweets327.xml=1,0;0,1;-1.0
tweets182.xml=0,1;0,1;-1.0
tweets319.xml=1,0;1,0;-1.0
tweets397.xml=0,1;0,1;-1.0
tweets174.xml=0,1;0,1;-1.0
tweets166.xml=0,1;0,1;-1.0
tweets389.xml=0,1;1,0;-1.0
tweets421.xml=0,1;0,1;-1.0
tweets413.xml=0,1;0,1;-1.0
tweets158.xml=0,1;0,1;-1.0
tweets491.xml=0,1;0,1;-1.0
tweets405.xml=0,1;0,1;-1.0
tweets260.xml=0,1;1,0;-1.0
tweets483.xml=0,1;1,0;-1.0
tweets475.xml=0,1;0,1;-1.0
tweets252.xml=0,1;0,1;-1.0
tweets467.xml=0,1;0,1;-1.0
tweets244.xml=0,1;0,1;-1.0
tweets236.xml=0,1;0,1;-1.0
tweets459.xml=0,1;0,1;-1.0
tweets228.xml=0,1;1,0;-1.0
tweets561.xml=0,1;0,1;-1.0
tweets553.xml=0,1;0,1;-1.0
tweets298.xml=0,1;0,1;-1.0
tweets545.xml=0,1;0,1;-1.0
tweets537.xml=0,1;0,1;-1.0
tweets314.xml=0,1;1,0;-1.0
tweets529.xml=0,1;0,1;-1.0
tweets306.xml=0,1;0,1;-1.0
tweets599.xml=0,1;1,0;-1.0
tweets350.xml=1,0;0,1;-1.0
tweets342.xml=0,1;0,1;-1.0
tweets334.xml=0,1;0,1;-1.0
tweets111.xml=0,1;0,1;-1.0
tweets326.xml=0,1;0,1;-1.0
tweets103.xml=0,1;0,1;-1.0
tweets181.xml=0,1;0,1;-1.0
tweets396.xml=0,1;0,1;-1.0
tweets173.xml=0,1;0,1;-1.0
tweets388.xml=0,1;0,1;-1.0
tweets420.xml=0,1;0,1;-1.0
tweets165.xml=0,1;0,1;-1.0
tweets412.xml=0,1;1,0;-1.0
tweets157.xml=0,1;0,1;-1.0
tweets490.xml=0,1;0,1;-1.0
tweets404.xml=0,1;0,1;-1.0
tweets149.xml=0,1;0,1;-1.0
tweets482.xml=0,1;0,1;-1.0
tweets251.xml=0,1;1,0;-1.0
tweets474.xml=0,1;1,0;-1.0
tweets243.xml=0,1;0,1;-1.0
tweets466.xml=0,1;1,0;-1.0
tweets235.xml=0,1;0,1;-1.0
tweets458.xml=0,1;0,1;-1.0
tweets227.xml=0,1;0,1;-1.0
tweets560.xml=0,1;0,1;-1.0
tweets219.xml=0,1;0,1;-1.0
tweets297.xml=0,1;0,1;-1.0
tweets552.xml=0,1;0,1;-1.0
tweets289.xml=0,1;0,1;-1.0
tweets544.xml=0,1;0,1;-1.0
tweets313.xml=0,1;0,1;-1.0
tweets536.xml=0,1;0,1;-1.0
tweets305.xml=1,0;1,0;-1.0
tweets528.xml=0,1;0,1;-1.0
tweets598.xml=0,1;0,1;-1.0
